Address,City,State,Zip,InstitutionName,AUTO_UNIQUE_ID_2013-07-21_nicholasdelrio_institutions,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPrimaryIdValue,FPostOfficeBoxNumber,FPrimaryIdField,FGeometrySRID,FPostOfficeBoxType,FPreType,FPreArticle,FPostArticle
325 Riverside Drive, New York, NY,100254162, Intellinet Inc New York,11,USCGeocoder,375.0072,1,4.01,,9cc2d064-b4a2-453d-a6e9-75c6ad46e342,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,708.7567768,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,40.80133844,-73.97042932,Exact,TwoThousandTen,51000,5602,35644,44919,0,35620,1004,1,191,61,36,1,ResidenceStreetAddress,325,,,RIVERSIDE,DR,,,,,,New York,NY,10025,,,,4162,,,,,,325 Riverside Drive,,,,,,,,325,,,RIVERSIDE,DR,,,,,,New York,NY,10025,,,,4162,,,,,,,,325,,,RIVERSIDE,DR,,,,New York,NY,10025,,,,4162,,,,,,,,708.76,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,967845,,UniqueId,0,,,,
5219 UNIVERSITY OF OREGON, EUGENE, OR,974035219, University of Oregon Eugene,12,USCGeocoder,296.8807,1,4.01,,37f2c156-24ba-4d7a-bed9-c5f39a06c170,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,11094477.01,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,44.03582061,-123.0529748,Exact,TwoThousandTen,,1890,,91105,0,21660,3005,3,36,39,41,4,ResidenceZIP,5219,,,UNIVERSITY OF OREGON,,,,,,,EUGENE,OR,97403,,,,5219,,,,,,5219 UNIVERSITY OF OREGON,,,,,,,,5219,,,UNIVERSITY OF OREGON,,,,,,,EUGENE,OR,97403,,,,5219,,,,,,,,,,,,,,,,,OR,97403,,,,,,,,,,,,11094477.01,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,97403,,zcta5ce10,0,,,,
70 N. Professor Street, Oberlin, OH,440741090, Oberlin College,13,USCGeocoder,250.0048,1,4.01,,cee941a1-e2e0-4b2f-ab03-a3308c1bb604,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5875.680823,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,41.293474,-82.22006589,Relaxed,TwoThousandTen,57834,1692,,57834,0,17460,1009,1,602,93,39,1,ResidenceStreetAddress,70,,N,PROFESSOR,ST,,,,,,Oberlin,OH,44074,,,,1090,,,,,,70 N. Professor Street,,,,,,,,70,,N,PROFESSOR,ST,,,,,,Oberlin,OH,44074,,,,1090,,,,,,,,Feb-98,,N,Professor,St,,,,Oberlin,OH,44074,,,,,,,,,,Oberlin,Lorain,5875.68,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,55411430,,tlid,0,,,,
Grant & Research Development, Cheney, WA,990042444, Eastern Washington University,14,USCGeocoder,171.8783,1,4.01,,5bbdf747-309f-40a1-b35e-8746ee62891c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,882.771,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,47.41109288,-117.63774,Exact,TwoThousandTen,,860,,90056,0,44060,2002,2,142,63,53,4,ResidenceZIP,,,,GRANT & RESEARCH DEVELOPMENT,,,,,,,Cheney,WA,99004,,,,2444,,,,,,Grant & Research Development,,,,,,,,,,,GRANT & RESEARCH DEVELOPMENT,,,,,,,Cheney,WA,99004,,,,2444,,,,,,,,,,,,,,,,,WA,99004,,,,,,,,,,,,882771465.4,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,99004,,zcta5ce10,0,,,,
NULL ADDRESS, Auburn, AL,368490001, Havird Justin C,15,USCGeocoder,250.0048,1,4.01,,a95e5584-906b-42f2-9971-2d614ba19e05,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2011.106572,LinearInterpolationMidPoint,USPSZipPlus4,100,FeatureClassBased,FlipACoin,,USPSZipPlus4LineCentroid,,,1,32.59956546,-85.48530669,Exact,TwoThousandTen,,450,,90162,0,12220,2033,2,407,81,1,2,ResidenceZIPPlus4,,,,,,,,,,,,,36849,,,,1,,,,,,,,,,,,,,,,,NULL ADDRESS,,,,,,,Auburn,AL,36849,,,,1,,,,,,,,,,,,,,,,,AL,36849,,,,1,,,,,,,,2011.11,Meters,,SOURCE_USPS_ZIP4TIGERLINES,2007,1569764,,tlid,0,,,,
750 FIRST ST. NE, WASHINGTON, DC,200024242, American Psychological Assoc,16,USCGeocoder,468.759,1,4.01,,3522f6ad-ddec-4595-b395-3860eae73714,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5191.899859,ArealInterpolationGeometricCentroid,Parcel,97.04142012,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,38.89984014,-77.00753802,Relaxed;Soundex,TwoThousandTen,50000,8872,47894,50000,0,47900,2033,2,106,1,11,1,ResidenceStreetAddress,750,,,FIRST,ST,NE,,,,,WASHINGTON,DC,20002,,,,4242,,,,,,750 FIRST ST. NE,,,,,,,,750,,,FIRST,ST,NE,,,,,WASHINGTON,DC,20002,,,,4242,,,,,,,,750,,,1ST,ST,,,,Washington,DC,20002,,,,4241,,,,,,,,5191.9,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,99740,,UniqueId,0,,,,
1834 Wake Forest Road, Winston-Salem, NC,271060000, Wake Forest University,17,USCGeocoder,406.2578,1,4.01,,abe0872a-3209-43cf-9fab-ac33c32ff0d4,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1192.335017,LinearInterpolationAddressRange,StreetSegment,95.41420118,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,36.1361284,-80.2779831,Relaxed,TwoThousandTen,,480,,,0,49180,2001,2,13,67,37,1,ResidenceStreetAddress,1834,,,WAKE FOREST,RD,,,,,,Winston-Salem,NC,27106,,,,0,,,,,,1834 Wake Forest Road,,,,,,,,1834,,,WAKE FOREST,RD,,,,,,Winston-Salem,NC,27106,,,,0,,,,,,,,1800-1898,,,Wake Forest,Rd,,,,Winston-Salem,NC,27109,,,,,,,,,,Winston,Forsyth,1192.34,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,84607696,,tlid,0,,,,
1400 S LAKE SHORE DR, CHICAGO, IL,606052827, Field Museum of Natural History,18,USCGeocoder,296.8807,1,4.01,,07f3ae16-bf44-4c50-9699-d6eeeb2bdeab,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,757.1544494,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,41.86475699,-87.61919927,Relaxed,TwoThousandTen,14000,1602,16974,14000,0,16980,4013,4,3301,31,17,1,ResidenceStreetAddress,1400,,S,LAKE SHORE,DR,,,,,,CHICAGO,IL,60605,,,,2827,,,,,,1400 S LAKE SHORE DR,,,,,,,,1400,,S,LAKE SHORE,DR,,,,,,CHICAGO,IL,60605,,,,2827,,,,,,,,1300-1400,,S,Lake Shore,Dr,,,,Chicago,IL,60605,,,,,,,,,,Chicago,Cook,757.15,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,111769906,,tlid,0,,,,
950 MAIN ST, WORCESTER, MA,16101400, Clark University,19,USCGeocoder,437.5084,1,4.01,,8f2f3d40-c6ec-49d2-9d51-2751002c6d6e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,63041.47944,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,42.25107192,-71.82355826,Exact,TwoThousandTen,82000,1122,,82000,0,49340,1002,1,7312.02,27,25,1,ResidenceStreetAddress,950,,,MAIN,ST,,,,,,WORCESTER,MA,1610,,,,1400,,,,,,950 MAIN ST,,,,,,,,950,,,MAIN,ST,,,,,,WORCESTER,MA,1610,,,,1400,,,,,,,,950,,,MAIN,ST,,,,Worcester,MA,1610,,,,1400,,,,,,,,63041.48,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,1707282,,UniqueId,0,,,,
NULL ADDRESS, Staten Island, NY,103146609, Pyron Robert A,20,USCGeocoder,390.6325,1,4.01,,6be811c9-346b-4a11-ae77-e44f7d124920,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4017.730433,LinearInterpolationMidPoint,USPSZipPlus4,100,FeatureClassBased,FlipACoin,,USPSZipPlus4LineCentroid,,,1,40.60793026,-74.15842636,Exact,TwoThousandTen,51000,5602,35644,70915,0,35620,4020,4,291.04,85,36,2,ResidenceZIPPlus4,,,,,,,,,,,,,10314,,,,6609,,,,,,,,,,,,,,,,,NULL ADDRESS,,,,,,,Staten Island,NY,10314,,,,6609,,,,,,,,,,,,,,,,,NY,10314,,,,6609,,,,,,,,4017.73,Meters,,SOURCE_USPS_ZIP4TIGERLINES,2007,59885104,,tlid,0,,,,
3801 West Temple, Pomona, CA,917682557, Cal Poly Pomona Foundation Inc.,21,USCGeocoder,515.6349,1,4.01,,d03d99e0-9b77-4bd3-a063-a8af41063cae,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1899.62702,LinearInterpolationAddressRange,StreetSegment,96.44970414,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,34.04975331,-117.8156957,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,2020,2,4024.03,37,6,1,ResidenceStreetAddress,3801,,W,TEMPLE,,,,,,,Pomona,CA,91768,,,,2557,,,,,,3801 West Temple,,,,,,,,3801,,W,TEMPLE,,,,,,,Pomona,CA,91768,,,,2557,,,,,,,,3749-3899,,W,Temple,Ave,,,,Pomona,CA,91768,,,,,,,,,,East San Gabriel Valley,Los Angeles,1899.63,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,142806052,,tlid,0,,,,
411 Massachusetts Avenue, Cambridge, MA,21394102, MolySym Inc.,22,USCGeocoder,484.3843,1,4.01,,16fcded6-4a28-4932-9664-6f02dea71849,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1064.588206,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,42.36368881,-71.10064112,Relaxed,TwoThousandTen,11000,1122,15764,11000,0,14460,2010,2,3531.01,17,25,1,ResidenceStreetAddress,411,,,MASSACHUSETTS,AVE,,,,,,Cambridge,MA,2139,,,,4102,,,,,,411 Massachusetts Avenue,,,,,,,,411,,,MASSACHUSETTS,AVE,,,,,,Cambridge,MA,2139,,,,4102,,,,,,,,387-437,,,Massachusetts,Ave,,,,Cambridge,MA,2139,,,,,,,,,,Cambridge,Middlesex,1064.59,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,87122577,,tlid,0,,,,
6190 AGRONOMY RD SUITE 102, VANCOUVERBC V6T1Z3, NULL STATE NAME, NULL ZIP CODE, University of British Columbia,23,USCGeocoder,0,1,4.01,,94c32aec-34df-4fec-8a26-d09097ac9718,,Unknown,ExceptionOccurred,LOCATION_TYPE_UNKNOWN,Unknown,NotAttempted,-1,NotAttempted,Unknown,0,FeatureClassBased,FlipACoin,,Unmatchable,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190,,,AGRONOMY,RD,,STE,102,,,VANCOUVERBC V6T1Z3,,NULL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,Unknown,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,,,UniqueId,0,,,,
Northern Boulevard, Old westbury, NY,115688000, New York Institute of Technology,24,USCGeocoder,218.7542,1,4.01,,17a14e4a-c482-4892-95a3-f8cf72a80d28,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,23108293.97,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,40.78696522,-73.59650303,Exact,TwoThousandTen,54705,5602,35004,53000,0,35620,2018,2,3025.02,59,36,4,ResidenceZIP,,,,NORTHERN,BLVD,,,,,,Old westbury,NY,11568,,,,8000,,,,,,Northern Boulevard,,,,,,,,,,,NORTHERN,BLVD,,,,,,Old westbury,NY,11568,,,,8000,,,,,,,,,,,,,,,,,NY,11568,,,,,,,,,,,,23108293.97,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,11568,,zcta5ce10,0,,,,
MSC 5728, HARRISONBURG, VA,228077000, James Madison University,25,USCGeocoder,2125.0408,1,4.01,,d92f3d80-1c83-4076-9d5b-e351e252d0db,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1159424.401,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,38.4341257,-78.86705938,Exact,TwoThousandTen,35624,,,,0,25500,3002,3,2.07,660,51,4,ResidenceZIP,,,,MSC,,,UNIT,5728,,,HARRISONBURG,VA,22807,,,,7000,,,,,,MSC 5728,,,,,,,,,,,MSC,,,UNIT,5728,,,HARRISONBURG,VA,22807,,,,7000,,,,,,,,,,,,,,,,,VA,22807,,,,,,,,,,,,1159424.4,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,22807,,zcta5ce10,0,,,,
